Resultado;Motivação;Impressão;Expressão;Destino;Missão;Dia Natalício;Talento oculto;No Psiquico;Tendencias ocultas;Resposta subconsciente;Desafios (ciclo de vida);Potencialidade Profissional;Desafio (Aniversário);Triângulo
1;PIONIERISMO;LIDER;INICIATIVA;INOVAÇÃO;LIDER;LIDER;INOVAÇÃO;CONVICÇÃO;EGOCENTRISMO;EGOCENTRISMO;EGOCENTRISMO;PIONEIRO;INSUBORDINAÇÃO;INOVAÇÃO
2;COOPERAÇÃO;EMPATIA;DIPLOMACIA;DIPLOMACIA;COLABORAÇÃO;DIPLOMACIA;COLABORAÇÃO;EMPATIA;SENSÍVEL;MENTIRA;SENSÍVEL;EQUIPE;PREPOTÊNCIA;SABEDORIA
3;COMUNICAÇÃO;ENTUSIASMO;MULTITALENTO;CONEXÃO;COMUNICAÇÃO;POPULAR;CRIATIVO;AUDÁCIA;PRESUNÇÃO;INDISCIPLINA;SOCIAL;ARTISTA;AGRESSIVIDADE;CRIAÇÃO
4;ORGANIZAÇÃO;ESTABILIDADE;ORGANIZAÇÃO;CONQUISTA;DETERMINAÇÃO;PERSISTÊNCIA;ORGANIZAÇÃO;CONSTÂNCIA;TEIMOSIA;DETALHISTA;FALTA DE VONTADE;ACABATIVO;PESSIMISMO;AUTORIDADE
5;CONEXÃO;MAGNETISMO PESSOAL;VERSATILIDADE;VERSATILIDADE;VERSATILIDADE;PERSUASÃO;VERSATILIDADE;VERSATILIDADE;SEM LIMITES;TENSO;SEM LIMITES;VENDEDOR;IMPACIÊNCIA;VERSATILIDADE
6;HARMONIA;HARMONIA;SERVIDOR;RESPONSABILIDADE;SERVIÇO;SERVIÇO;CUIDADO;SERVIÇO;PREOCUPAÇÃO;SENTIMENTAL;AMOROSIDADE;DIPLOMACIA;INDECISÃO;RELACIONAMENTO
7;ANÁLISE;SELETIVO;ANALISTA;SABEDORIA;ANALISTA;ANÁLISE MENTAL;PERFEIÇÃO;ANALISTA;ADICÇÕES;ANTISOCIAL;FECHADO;ESPECIALISTA;CENTRALIZADOR;DIRECIONAMENTO
8;PODER;PODER;EXECUTOR;PODER;JUSTIÇA;ÊXITO MATERIAL;VISIONÁRIO;DETERMINAÇÃO;AVAREZA;CONFIANÇA;DINHEIRO;EMPREENDEDOR;DESCONFIANÇA;AUTORIDADE
9;CONSELHEIRO;ALTRUÍSTA;COLETIVO;COLETIVO;UNIVERSALIDADE;INTELECTUALIDADE;CARISMÁTICO;CARISMA;RENUNCIA;DESINTERESSE;;COLETIVO;FALTA DE PERSISTÊNCIA;CONHECIMENTO
10;;;;;;AUTO CONFIANÇA;;;;;TODOS;;SUPERIORIDADE;
11;INTUITIVO;;INTUITIVO;INSPIRAÇÃO;CONSCIÊNCIA;VISIONÁRIO;DIPLOMACIA;INTUITIVO;IMPACIENTE;;;INFLUENCIADOR;INCONSISTÊNCIA;DOMINÂNCIA
12;;;;;;AUTO EXPRESSÃO;;;;;;;INCONSEQUENTE;
13;;;;;;PERÍCIA;;;;;;;ANTI SOCIAL;
14;;;;;;PERSUASÃO;;;;;;;FALTA DE CREDIBILIDADE;
15;;;;;;MAGNETISMO PESSOAL;;;;;;;EGOCENTRISMO;
16;;;;;;TRIUNFO;;;;;;;ORGULHO;
17;;;;;;PERSPICÁCIA;;;;;;;EXIBICIONISMO;
18;;;;;;PODER MENTAL;;;;;;;EXPLOSÃO;
19;;;;;;CORAGEM;;;;;;;ARROGÂNCIA;
20;;;;;;SENSÍVEL;;;;;;;ALTA SENSIBILIDADE;
21;;;;;;SUCESSO;;;;;;;INSTABILIDADE;
22;CONCRETIZAÇÃO;;CONSTRUTOR;CONSTRUTOR;ESPERANÇA;RESULTADO;RESULTADO;;;;;INTUITIVO;GANÂNCIA;REALIZAÇÃO
23;;;;;;PERSUASÃO;;;;;;;DESCONTROLE;
24;;;;;;SOLÍCITO;;;;;;;SENSURA;
25;;;;;;PROGRESSO;;;;;;;INSEGURANÇA;
26;;;;;;JUSTIÇA;;;;;;;DOMINADOR;
27;;;;;;AUDÁCIA;;;;;;;INDOLÊNCIA;
28;;;;;;VONTADE;;;;;;;ACOMODADO;
29;;;;;;INTELECTUALIDADE;;;;;;;EXTREMISTA;
30;;;;;;REALIZAÇÃO;;;;;;;DESPREOCUPAÇÃO;
31;;;;;;HABILIDADE;;;;;;;IMPOSITIVO;
